spillLogEntryTime run dataLog
27-Oct-2010 13:32:00 21679 9653
27-Oct-2010 13:46:00 21680 9654
27-Oct-2010 13:55:00 21681 9655
27-Oct-2010 13:59:00 21682 9656
27-Oct-2010 14:14:00 21683 9657
27-Oct-2010 14:20:00 21684 9658
27-Oct-2010 14:42:00 21685 9659
27-Oct-2010 14:52:00 21686 9660
27-Oct-2010 15:01:00 21687 9661
27-Oct-2010 15:10:00 21688 9662
28-Oct-2010 07:12:00 21689 9663
28-Oct-2010 07:20:00 21690 9664
28-Oct-2010 07:24:00 21691 9665
28-Oct-2010 07:48:00 21692 9666
29-Oct-2010 07:22:00 21693 9667
29-Oct-2010 07:27:00 21694 9668
29-Oct-2010 07:40:00 21695 9669
29-Oct-2010 07:54:00 21696 9670
29-Oct-2010 07:55:00 21697 9671
29-Oct-2010 08:08:00 21698 9672
29-Oct-2010 08:19:00 21699 9673
29-Oct-2010 08:25:00 21700 9674
29-Oct-2010 08:34:00 21701 9675
29-Oct-2010 08:51:00 21702 9676
29-Oct-2010 09:00:00 21703 9677
29-Oct-2010 09:10:00 21704 9678
29-Oct-2010 09:20:00 21705 9679
29-Oct-2010 09:35:00 21706 9680
29-Oct-2010 09:49:00 21707 9681
29-Oct-2010 10:04:00 21708 9682
29-Oct-2010 10:13:00 21709 9683
29-Oct-2010 10:14:00 21710 9684
29-Oct-2010 10:19:00 21711 9685
29-Oct-2010 10:29:00 21712 9686
29-Oct-2010 10:46:00 21713 9687
29-Oct-2010 11:03:00 21714 9688
29-Oct-2010 11:16:00 21715 9689
29-Oct-2010 11:31:00 21716 9690
29-Oct-2010 11:46:00 21717 9691
29-Oct-2010 12:00:00 21718 9692
29-Oct-2010 12:16:00 21719 9693
29-Oct-2010 12:30:00 21720 9694
29-Oct-2010 12:46:00 21721 9695
29-Oct-2010 13:00:00 21722 9696
29-Oct-2010 13:14:00 21723 9697
29-Oct-2010 13:29:00 21724 9698
29-Oct-2010 13:42:00 21725 9699
29-Oct-2010 13:57:00 21726 9700
29-Oct-2010 14:10:00 21727 9701
29-Oct-2010 14:24:00 21728 9702
29-Oct-2010 14:39:00 21729 9703
29-Oct-2010 14:47:00 21730 9704
29-Oct-2010 14:57:00 21731 9705
30-Oct-2010 10:10:00 21735 9706
30-Oct-2010 16:03:00 21736 9707
30-Oct-2010 17:09:00 21739 9708
31-Oct-2010 11:04:00 21740 9709
31-Oct-2010 11:40:00 21741 9710
31-Oct-2010 11:51:00 21742 9711
31-Oct-2010 12:06:00 21743 9712
31-Oct-2010 12:16:00 21744 9713
31-Oct-2010 12:38:00 21746 9715
31-Oct-2010 13:01:00 21747 9716
31-Oct-2010 13:12:00 21748 9717
31-Oct-2010 13:21:00 21749 9718
31-Oct-2010 13:31:00 21750 9719
31-Oct-2010 13:42:00 21751 9720
31-Oct-2010 13:53:00 21752 9721
31-Oct-2010 14:04:00 21753 9722
31-Oct-2010 14:14:00 21754 9723
31-Oct-2010 14:25:00 21755 9724
31-Oct-2010 14:35:00 21756 9725
31-Oct-2010 14:46:00 21757 9726
31-Oct-2010 15:04:00 21758 9727
31-Oct-2010 15:16:00 21759 9728
31-Oct-2010 15:27:00 21760 9729
31-Oct-2010 15:41:00 21761 9730
31-Oct-2010 15:49:00 21762 9731
31-Oct-2010 16:00:00 21763 9732
31-Oct-2010 18:36:00 21764 9733
31-Oct-2010 18:42:00 21765 9734
31-Oct-2010 18:56:00 21766 9735
31-Oct-2010 19:10:00 21767 9736
31-Oct-2010 19:21:00 21768 9737
31-Oct-2010 19:33:00 21769 9738
31-Oct-2010 19:50:00 21770 9739
31-Oct-2010 20:07:00 21771 9740
31-Oct-2010 20:17:00 21772 9741
31-Oct-2010 20:31:00 21773 9742
31-Oct-2010 20:48:00 21774 9743
31-Oct-2010 20:58:00 21775 9744
31-Oct-2010 21:05:00 21776 9745
31-Oct-2010 21:17:00 21777 9746
01-Nov-2010 15:54:00 21778 9747
01-Nov-2010 16:50:00 21779 9748
01-Nov-2010 16:54:00 21781 9749
01-Nov-2010 16:57:00 21782 9750
01-Nov-2010 17:06:00 21783 9751
01-Nov-2010 17:17:00 21784 9752
01-Nov-2010 17:26:00 21785 9753
01-Nov-2010 17:36:00 21786 9754
01-Nov-2010 17:44:00 21787 9755
01-Nov-2010 17:54:00 21788 9756
01-Nov-2010 18:08:00 21789 9757
01-Nov-2010 18:21:00 21790 9758
01-Nov-2010 18:31:00 21791 9759
01-Nov-2010 18:40:00 21792 9760
01-Nov-2010 18:57:00 21793 9761
01-Nov-2010 19:16:00 21794 9762
01-Nov-2010 19:32:00 21795 9763
01-Nov-2010 19:38:00 21796 9764
01-Nov-2010 19:46:00 21797 9765
01-Nov-2010 20:02:00 21798 9766
01-Nov-2010 20:18:00 21799 9767
01-Nov-2010 20:35:00 21800 9768
01-Nov-2010 20:53:00 21801 9769
01-Nov-2010 21:10:00 21802 9770
01-Nov-2010 21:26:00 21803 9771
01-Nov-2010 21:43:00 21804 9772
01-Nov-2010 21:52:00 21805 9773
01-Nov-2010 22:05:00 21806 9774
01-Nov-2010 22:22:00 21807 9775
01-Nov-2010 22:38:00 21808 9776
01-Nov-2010 22:54:00 21809 9777
01-Nov-2010 23:09:00 21810 9778
02-Nov-2010 19:15:00 21811 9779
02-Nov-2010 20:12:00 21812 9780
02-Nov-2010 20:36:00 21813 9781
02-Nov-2010 20:46:00 21814 9782
02-Nov-2010 20:51:00 21815 9783
02-Nov-2010 21:04:00 21816 9784
02-Nov-2010 21:13:00 21817 9785
02-Nov-2010 21:29:00 21818 9786
02-Nov-2010 21:39:00 21819 9787
02-Nov-2010 22:33:00 21820 9788
02-Nov-2010 22:38:00 21821 9789
02-Nov-2010 22:52:00 21822 9790
02-Nov-2010 23:04:00 21823 9791
03-Nov-2010 15:25:00 21824 9792
03-Nov-2010 15:58:00 21825 9793
03-Nov-2010 16:25:00 21826 9794
03-Nov-2010 16:36:00 21827 9795
03-Nov-2010 16:54:00 21828 9796
03-Nov-2010 17:03:00 21829 9797
03-Nov-2010 17:12:00 21830 9798
03-Nov-2010 17:21:00 21831 9799
03-Nov-2010 17:29:00 21832 9800
03-Nov-2010 17:41:00 21833 9801
03-Nov-2010 17:58:00 21834 9802
03-Nov-2010 18:06:00 21835 9803
03-Nov-2010 18:16:00 21836 9804
03-Nov-2010 18:25:00 21837 9805
03-Nov-2010 18:38:00 21838 9806
03-Nov-2010 18:45:00 21839 9807
03-Nov-2010 18:54:00 21840 9808
03-Nov-2010 19:05:00 21841 9809
03-Nov-2010 19:16:00 21842 9810
03-Nov-2010 19:27:00 21843 9811
03-Nov-2010 19:28:00 21844 9812
03-Nov-2010 19:32:00 21845 9813
03-Nov-2010 19:43:00 21846 9814
03-Nov-2010 19:52:00 21847 9815
03-Nov-2010 20:02:00 21848 9816
03-Nov-2010 20:10:00 21849 9817
03-Nov-2010 20:21:00 21850 9818
03-Nov-2010 20:39:00 21851 9819
03-Nov-2010 20:54:00 21852 9820
03-Nov-2010 21:09:00 21853 9821
03-Nov-2010 21:24:00 21854 9822
03-Nov-2010 21:40:00 21855 9823
03-Nov-2010 21:56:00 21856 9824
03-Nov-2010 22:12:00 21857 9825
03-Nov-2010 22:28:00 21858 9826
03-Nov-2010 22:44:00 21859 9827
03-Nov-2010 23:01:00 21860 9828
03-Nov-2010 23:15:00 21861 9829
04-Nov-2010 15:44:00 21862 9830
04-Nov-2010 15:58:00 21863 9831
04-Nov-2010 16:08:00 21864 9832
04-Nov-2010 16:17:00 21865 9833
04-Nov-2010 16:28:00 21866 9834
04-Nov-2010 16:38:00 21867 9835
04-Nov-2010 16:49:00 21868 9836
04-Nov-2010 16:56:00 21869 9837
04-Nov-2010 17:07:00 21870 9838
04-Nov-2010 17:20:00 21871 9839
04-Nov-2010 17:31:00 21872 9840
04-Nov-2010 17:44:00 21873 9841
04-Nov-2010 17:53:00 21874 9842
04-Nov-2010 18:08:00 21875 9843
04-Nov-2010 18:21:00 21876 9844
04-Nov-2010 18:27:00 21877 9845
04-Nov-2010 18:37:00 21878 9846
04-Nov-2010 18:39:00 21879 9847
04-Nov-2010 18:55:00 21880 9848
04-Nov-2010 19:06:00 21881 9849
04-Nov-2010 19:11:00 21882 9850
04-Nov-2010 19:36:00 21883 9851
04-Nov-2010 19:45:00 21884 9852
04-Nov-2010 19:51:00 21885 9853
04-Nov-2010 20:00:00 21886 9854
04-Nov-2010 20:12:00 21887 9855
04-Nov-2010 20:23:00 21888 9856
04-Nov-2010 20:34:00 21889 9857
04-Nov-2010 20:45:00 21890 9858
04-Nov-2010 20:51:00 21891 9859
04-Nov-2010 21:03:00 21892 9860
04-Nov-2010 21:18:00 21893 9861
04-Nov-2010 21:30:00 21894 9862
04-Nov-2010 21:41:00 21895 9863
04-Nov-2010 21:45:00 21896 9864
04-Nov-2010 21:56:00 21897 9865
04-Nov-2010 22:11:00 21898 9866
04-Nov-2010 22:27:00 21899 9867
